timestamp,elapsed_seconds,ir,bpm,avg_bpm,mic,note,raw
2026-07-05T15:58:29.463,18.881,118975,22.71,16,346,,"IR=118975, BPM=22.71, Avg BPM=16, MIC=346"
2026-07-05T15:58:29.482,18.901,118814,22.71,16,491,,"IR=118814, BPM=22.71, Avg BPM=16, MIC=491"
2026-07-05T15:58:29.502,18.921,118713,22.71,16,332,,"IR=118713, BPM=22.71, Avg BPM=16, MIC=332"
2026-07-05T15:58:29.521,18.940,118625,22.71,16,345,,"IR=118625, BPM=22.71, Avg BPM=16, MIC=345"
2026-07-05T15:58:29.540,18.959,118502,22.71,16,141,,"IR=118502, BPM=22.71, Avg BPM=16, MIC=141"
2026-07-05T15:58:29.559,18.978,118436,22.71,16,330,,"IR=118436, BPM=22.71, Avg BPM=16, MIC=330"
2026-07-05T15:58:29.578,18.997,118325,22.71,16,348,,"IR=118325, BPM=22.71, Avg BPM=16, MIC=348"
2026-07-05T15:58:29.597,19.015,118241,22.71,16,318,,"IR=118241, BPM=22.71, Avg BPM=16, MIC=318"
2026-07-05T15:58:29.616,19.035,118198,22.71,16,361,,"IR=118198, BPM=22.71, Avg BPM=16, MIC=361"
2026-07-05T15:58:29.636,19.054,118163,22.71,16,363,,"IR=118163, BPM=22.71, Avg BPM=16, MIC=363"
2026-07-05T15:58:29.655,19.073,118105,22.71,16,360,,"IR=118105, BPM=22.71, Avg BPM=16, MIC=360"
2026-07-05T15:58:29.674,19.092,118072,22.71,16,314,,"IR=118072, BPM=22.71, Avg BPM=16, MIC=314"
2026-07-05T15:58:29.693,19.111,118051,22.71,16,447,,"IR=118051, BPM=22.71, Avg BPM=16, MIC=447"
2026-07-05T15:58:29.712,19.130,118063,22.71,16,358,,"IR=118063, BPM=22.71, Avg BPM=16, MIC=358"
2026-07-05T15:58:29.731,19.149,118018,22.71,16,315,,"IR=118018, BPM=22.71, Avg BPM=16, MIC=315"
2026-07-05T15:58:29.751,19.169,118042,22.71,16,379,,"IR=118042, BPM=22.71, Avg BPM=16, MIC=379"
2026-07-05T15:58:29.770,19.188,118026,22.71,16,373,,"IR=118026, BPM=22.71, Avg BPM=16, MIC=373"
2026-07-05T15:58:29.789,19.207,118020,22.71,16,343,,"IR=118020, BPM=22.71, Avg BPM=16, MIC=343"
2026-07-05T15:58:29.808,19.227,118039,22.71,16,366,,"IR=118039, BPM=22.71, Avg BPM=16, MIC=366"
2026-07-05T15:58:29.827,19.245,118044,22.71,16,349,,"IR=118044, BPM=22.71, Avg BPM=16, MIC=349"
2026-07-05T15:58:29.846,19.265,118052,22.71,16,349,,"IR=118052, BPM=22.71, Avg BPM=16, MIC=349"
2026-07-05T15:58:29.865,19.284,118021,22.71,16,342,,"IR=118021, BPM=22.71, Avg BPM=16, MIC=342"
2026-07-05T15:58:29.885,19.303,118024,22.71,16,347,,"IR=118024, BPM=22.71, Avg BPM=16, MIC=347"
2026-07-05T15:58:29.904,19.322,118018,22.71,16,333,,"IR=118018, BPM=22.71, Avg BPM=16, MIC=333"
2026-07-05T15:58:29.923,19.341,117974,22.71,16,378,,"IR=117974, BPM=22.71, Avg BPM=16, MIC=378"
2026-07-05T15:58:29.942,19.361,118006,22.71,16,351,,"IR=118006, BPM=22.71, Avg BPM=16, MIC=351"
